SampleID	CPER_001-M-20131024
Cryptomonas	2
Cryptopygus	2
Cryptosporidium	131
Ctenocephalides	2
Ctenolepisma	2
Cucumaria	1
Cucumis	29
Cucurbita	6
Culex	191
Culicoides	5
Culiseta	1
Cunninghamella	15
Cunninghamia	1
Cuphea	13
Cupriavidus	36127
Curtobacterium	7
Curvibacter	1736
Curvularia	18
Cuscuta	4
Cyamopsis	10
Cyamus	1
Cyanea	1
Cyanidioschyzon	460
Cyanidium	23
Cyanobacterium	16
Cyanobium	936
Cyanophora	87
Cyanothece	18381
Cyathea	1
Cycas	7
Cyclamen	1
Cyclobacterium	1
Cycloclasticus	7
Cyclotella	1
Cyema	1
Cylindrospermopsis	1163
Cylindrotheca	5
Cynodon	1
Cynomorium	1
Cynopterus	3
Cyperus	1
Cyphelium	1
Cypridopsis	2
Cyprinivirus	1
Cyprinus	4
Cystobacter	152
Cytophaga	12225
Dactylococcopsis	2
Dactyloctenium	1
Dactylosporangium	96
Dalbergia	1
Danio	1050
Danthonia	3
Daphnia	421
Dasypus	4
Dasypyrum	1
Datura	1
Daucus	23
Debaryomyces	89
Dechloromonas	9309
Dechlorospirillum	1
Deferribacter	2426
Dehalococcoides	5617
Dehalogenimonas	2777
Deinococcus	21027
Deinopis	1
Dekkera	2
Delftia	6204
Delpydora	1
Dendrocalamus	10
Dendronephthya	1
Dendropsophus	1
Denitrovibrio	1907
Derbesia	1
Dermacentor	3
Dermacoccus	2255
Dermanyssus	1
Dermatophagoides	2
Dermatophilus	1
Derxomyces	1
Desulfarculus	4580
Desulfatibacillum	6542
Desulfitibacter	2
Desulfitobacterium	6830
Desulfobacterium	3815
Desulfobulbus	2973
Desulfocaldus	5
Desulfococcus	5601
Desulfohalobium	2563
Desulfomicrobium	4193
Desulfomonile	12
Desulfonatronospira	2087
Desulfonatronovibrio	1
Desulfonatronum	13
Desulfonispora	1
Desulforhabdus	1
Desulfosarcina	1
Desulfotalea	3444
Desulfothermus	7
Desulfotignum	24
Desulfotomaculum	10908
Desulfovibrio	31127
Desulfurispirillum	2207
Desulfurivibrio	4208
Desulfurococcus	347
Desulfuromonas	4166
Desulfuromusa	1
Dethiobacter	2780
Dethiosulfovibrio	1659
Diabolocatantops	1
Diabrotica	1
Dialister	624
Dianthus	8
Diaphorobacter	7
Dichelobacter	764
Dichondra	1
Dickeya	2845
Dicranopteris	1
Dicranostyles	1
Dictyoglomus	4171
Dictyostelium	1962
Didemnum	1
Didymium	1
Dietzia	1799
Digitaria	1
Dileptus	1
Dilophus	1
Dimocarpus	1
Dinophysis	1
Dinoroseobacter	4422
Dinothrombium	2
Dioon	1
Dioscorea	2
Dipelta	1
Diplodon	1
Diplorickettsia	2
Diplosphaera	3010
Dipodomys	1
Dipteropeltis	1
Dirhinus	1
Disepalum	1
Dissostichus	1
Distichlis	2
Ditylenchus	1
Dokdonia	1661
Dolichospermum	47
Doohwaniella	1
Dorea	489
Dothidea	2
Drechslera	1
Dreissena	2
Drepanotrema	1
Drosophila	1787
Duganella	1
Dugesia	1
Dugong	1
Dunaliella	13
Durinskia	6
Dyadobacter	17815
Dyella	3
Dyseriocrania	1
Ebria	1
Ecdeiocolea	1
Echinocardium	1
Echinochloa	5
Echinococcus	2
Echinoplaca	1
Echinops	2
Ecteinascidia	1
Ectocarpus	480
Ectothiorhodospira	9
Ectropis	1
Edwardsiella	1267
Edwardsina	1
Eggerthella	1436
Ehretia	1
Ehrlichia	470
Eikenella	350
Eimeria	3
Elaeis	5
Elakatothrix	1
Elegia	1
Eleocharis	5
Eleotris	1
Elizabethkingia	33
Elliptochloris	2
Ellisochloa	1
Elsinoe	1
Elusimicrobium	1239
Elymus	4
Elysia	1
Emarcea	1
Embellisia	1
Emericella	669
Emiliania	14
Emoia	1
Encarsia	1
Encephalartos	2
Encephalitozoon	83
Enchytraeus	5
Endogone	1
Endoriftia	930
Enhydrobacter	374
Enhygromyxa	2
Ensete	1
Ensifer	49
Entamoeba	99
Enterobacter	2503
Enterococcus	2429
Enteroctopus	3
Enterocytozoon	23
Enterovibrio	1
Entoloma	1
Entomoplasma	2
Eosericostoma	1
Ephedra	3
Ephydatia	5
Epichloe	3
Epidermophyton	1
Epinephelus	2
Epsilon15-like viruses	5
Eptatretus	4
Epulopiscium	229
Equisetum	3
Equus	104
Eragrostis	2
Erechtia	1
Eremococcus	126
Eremothecium	48
Erinaceus	1
Eriocheir	1
Erodium	2
Erwinia	1912
Erycibe	1
Erysipelothrix	112
Erythrobacter	17968
Escherichia	4744
Escovopsis	1
Esox	8
Ethanoligenens	1019
Etrumeus	1
Eubacterium	3055
Eucalyptus	4
Eucommia	1
Euglena	10
Euglypha	1
Eulemur	1
Eumesocampa	1
Euonymus	1
Euperipatoides	1
Euphaedusa	1
Euphorbia	7
Euplotes	9
Eurotium	2
Eurygaster	3
Eutagenia	1
Eutrema	2
Eutrichosoma	1
Evolvulus	1
Exeristes	1
Exidia	2
Exiguobacterium	2574
Exophiala	5
Faecalibacterium	984
Fagopyrum	2
Fagus	1
Falkia	1
Falklandiella	1
Fargesia	2
Fasciola	1
Felis	16
Fenneropenaeus	6
Ferrimonas	1457
Ferroglobus	620
Ferroplasma	267
Fervidobacterium	1366
Festuca	12
Fibrobacter	1228
Ficinia	1
Filifactor	291
Filobasidiella	866
Fimbristylis	1
Finegoldia	378
Fischerella	128
Fissuroma	1
Fistulina	1
Flammeovirga	35
Flammula	1
Flaveria	49
Flavobacterium	12498
Flectobacillus	1
Flexibacter	8
Flexistipes	7
Flexithrix	5
Floydiella	2
Fluoribacter	33
Flustra	2
Fomitiporia	1
Fonsecaea	1
Forcipomyia	1
Forsythia	1
Fragaria	3
Fragilariopsis	1
Francisella	1320
Frankia	122748
Frankliniella	1
Frateuria	1
Friedmanniomyces	1
Frigoribacterium	1
Fritillaria	1
Fructobacillus	4
Fucus	10
Fulvimarina	2224
Fundulus	2
Funneliformis	5
Fusarium	24
Fusigobius	1
Fusiturris	1
Fusobacterium	2695
Gadus	9
Gaeumannomyces	3
Galdieria	8
Gallibacterium	3
Gallionella	2728
Gallus	382
Ganoderma	1
Gardnerella	398
Gasterosteus	674
Geastrum	8
Geitlerinema	2
Gelasinospora	2
Gemella	179
Geminigera	2
Geminocystis	15
Gemmata	39292
Gemmatimonas	70725
Gentiana	1
Geoalkalibacter	3
Geobacillus	17898
Geobacter	72201
Geodermatophilus	37904
Gephyrocapsa	1
Geranium	1
Gersemia	1
Giardia	112
Gibberella	2539
Gigaspora	2
Gillichthys	2
Ginkgo	7
Girardia	1
Glaciecola	312
Glaciibacter	12
Glaucocystis	6
Gloeobacter	23497
Gloeophyllum	1
Gloeothece	6
Glomerella	14
Glomus	7
Glossina	36
Gluconacetobacter	9454
Gluconobacter	4250
Glycine	179
Glyphium	1
Glyptapanteles	3
Gnathostoma	1
Gnetum	1
Gomesa	2
Gomortega	9
Gomphiocephalus	1
Goniomonas	1
Gonystylus	1
Gordonia	5977
Gordonibacter	414
Gorilla	3
Gossypium	11
Gracilaria	40
Gracilariophila	1
Gracilariopsis	1
Gramella	6915
Grammosolen	1
Granulibacter	10000
Granulicatella	386
Granulicella	22427
Graphis	1
Graphocephala	1
Griffithsia	6
Grosmannia	361
Guillardia	54
Gulella	1
Gunnera	1
Gyalidea	1
Gymnochlora	1
Gymnogongrus	1
Gymnophrys	1
Gyrocarpus	1
Gyromitra	1
Habrotrocha	1
Haemaphysalis	1
Haematobia	2
Haematococcus	4
Haemonchus	6
Haemophilus	2336
Haemopis	1
Haemoproteus	1
Hafnia	2
Hahella	8311
Haladaptatus	997
Halalkalicoccus	1055
Halanaerobium	1909
Haliangium	31295
Halichoerus	1
Halimolobos	1
Haliotis	10
Haloarcula	1573
Halobacillus	9
Halobacterium	952
Halochromatium	2
Halocynthia	4
Haloferax	1005
Halogeometricum	1108
Halomicrobium	862
Halomonas	2793
Haloquadratum	1046
Halorhabdus	833
Halorhodospira	4487
Halorubrum	661
Halostachys	1
Haloterrigena	1583
Halothermothrix	3424
Halothiobacillus	1790
Hanseniella	1
Hanusia	1
Hapalosiphon	3
Haplochromis	1
Harma	1
Harpanthus	2
Harpegnathos	203
Harpochytrium	2
Hartmannella	86
Hebeloma	3
Helianthus	8
Helicobacter	2197
Helicolenus	1
Helicosporidium	6
Helicoverpa	3
