"","metagenomeID","sampleType","Evenness","mgrastID","sampleID","Event_name","siteID","plotID"
"40","DSNY_016.23.M.35.17.20140327.join","Individual",0.81600806505566,"mgm4637841.3","DSNY_016-M-35-17-20140327","DSNY_016-M-20140327","DSNY","DSNY_016"
"42","DSNY_016.xx.M.xx.xx.20140327.join","Composite",0.816047135542696,"mgm4637843.3","DSNY_016-M-20140327-C","DSNY_016-M-20140327","DSNY","DSNY_016"
"41","DSNY_016.23.M.37.14.20140410.join","Individual",0.815823922356877,"mgm4637842.3","DSNY_016-M-37-14-20140410","DSNY_016-M-20140410","DSNY","DSNY_016"
"43","DSNY_016.xx.M.xx.xx.20140410.join","Composite",0.816290695256383,"mgm4637844.3","DSNY_016-M-20140410-C","DSNY_016-M-20140410","DSNY","DSNY_016"
"39","DSNY_016.23.M.23.38.20140910.join","Individual",0.815972854164553,"mgm4637840.3","DSNY_016-M-23-38-20140910","DSNY_016-M-20140910","DSNY","DSNY_016"
"44","DSNY_016.xx.M.xx.xx.20140910.join","Composite",0.815751294508344,"mgm4637845.3","DSNY_016-M-20140910-C","DSNY_016-M-20140910","DSNY","DSNY_016"
"24","DSNY.101.39.M.9.26.20130731.join","Individual",0.815144780943006,"mgm4664912.3","DSNY_101-M-9-26-20130731","DSNY_101-M-20130731","DSNY","DSNY_101"
"45","DSNY_101.xx.M.xx.xx.20130731.join","Composite",0.81521490164602,"mgm4637848.3","DSNY_101-M-20130731-C","DSNY_101-M-20130731","DSNY","DSNY_101"
"23","DSNY.101.23.M.35.7.20131114.join","Individual",0.814593431253449,"mgm4664926.3","DSNY_101-M-35-7-20131114","DSNY_101-M-20131114","DSNY","DSNY_101"
"25","DSNY.101.xx.M.xx.x.20131114.join","Composite",0.814460252640752,"mgm4664918.3","DSNY_101-M-20131114-C","DSNY_101-M-20131114","DSNY","DSNY_101"
"27","DSNY.201.39.M.6.30.20130731.join","Individual",0.815311878412048,"mgm4664870.3","DSNY_201-M-6-30-20130731","DSNY_201-M-20130731","DSNY","DSNY_201"
"46","DSNY_201.xx.M.xx.xx.20130731.join","Composite",0.815422111254252,"mgm4637849.3","DSNY_201-M-20130731-C","DSNY_201-M-20130731","DSNY","DSNY_201"
"26","DSNY.201.23.M.24.9.20131114.join","Individual",0.815625488256735,"mgm4664865.3","DSNY_201-M-24-9-20131114","DSNY_201-M-20131114","DSNY","DSNY_201"
"28","DSNY.201.xx.M.xx.x.20131114.join","Composite",0.816353689842638,"mgm4664925.3","DSNY_201-M-20131114-C","DSNY_201-M-20131114","DSNY","DSNY_201"
"29","DSNY.265.39.M.1.21.20130731.join","Individual",0.81542704684856,"mgm4664910.3","DSNY_265-M-1-21-20130731","DSNY_265-M-20130731","DSNY","DSNY_265"
"30","DSNY.265.xx.M.xx.x.20130731.join","Composite",0.815851766703255,"mgm4664897.3","DSNY_265-M-20130731-C","DSNY_265-M-20130731","DSNY","DSNY_265"
"31","DSNY.293.39.M.16.35.20130731.join","Individual",0.817169972932366,"mgm4664915.3","DSNY_293-M-16-35-20130731","DSNY_293-M-20130731","DSNY","DSNY_293"
"32","DSNY.293.xx.M.xx.x.20130731.join","Composite",0.816348906488269,"mgm4664922.3","DSNY_293-M-20130731-C","DSNY_293-M-20130731","DSNY","DSNY_293"
"48","HARV.001.50.Mineral.25.38.20130709.join","Individual",0.816805630185452,"mgm4664909.3","HARV_001-M-25-38-20130709","HARV_001-M-20130709","HARV","HARV_001"
"49","HARV.001.xx.Mineral.x.x.2013070x.join","Composite",0.817972831976473,"mgm4664893.3","HARV_001-M-2013070-C","HARV_001-M-20130709","HARV","HARV_001"
"47","HARV.001.05.04.Mineral.13.7.20131122.join","Individual",0.818363732732354,"mgm4664892.3","HARV_001-M-13-7-20131122","HARV_001-M-20131122","HARV","HARV_001"
"50","HARV.001.xx.xx.Mineral.x.x.20131122.join","Composite",0.81807461711134,"mgm4664868.3","HARV_001-M-20131122-C","HARV_001-M-20131122","HARV","HARV_001"
"51","HARV.004.51.Mineral.34.37.20130709.join","Individual",0.817084294158078,"mgm4664873.3","HARV_004-M-34-37-20130709","HARV_004-M-20130709","HARV","HARV_004"
"52","HARV.004.xx.Mineral.x.x.20130709.join","Composite",0.818695916072472,"mgm4664863.3","HARV_004-M-20130709-C","HARV_004-M-20130709","HARV","HARV_004"
"54","OSBS.047.39.M.9.26.20130726.join","Individual",0.816225673260456,"mgm4664920.3","OSBS_047-M-9-26-20130726","OSBS_047-M-20130726","OSBS","OSBS_047"
"55","OSBS.047.xx.M.xx.x.20130726.join","Composite",0.816086694833847,"mgm4664877.3","OSBS_047-M-20130726-C","OSBS_047-M-20130726","OSBS","OSBS_047"
"53","OSBS.047.23.M.30.7.20131112.join","Individual",0.816278181122271,"mgm4664900.3","OSBS_047-M-30-7-20131112","OSBS_047-M-20131112","OSBS","OSBS_047"
"56","OSBS.047.xx.M.xx.x.20131112.join","Composite",0.817310887887051,"mgm4664886.3","OSBS_047-M-20131112-C","OSBS_047-M-20131112","OSBS","OSBS_047"
"57","OSBS.048.39.M.9.22.20130726.join","Individual",0.817628298007542,"mgm4664914.3","OSBS_048-M-9-22-20130726","OSBS_048-M-20130726","OSBS","OSBS_048"
"58","OSBS.048.xx.M.xx.x.20130726.join","Composite",0.817064092287522,"mgm4664852.3","OSBS_048-M-20130726-C","OSBS_048-M-20130726","OSBS","OSBS_048"
"61","OSBS_087.21.M.8.19.20131112.join","Individual",0.817674066903153,"mgm4637854.3","OSBS_087-M-8-19-20131112","OSBS_087-M-20131112","OSBS","OSBS_087"
"62","OSBS_087.xx.M.xx.xx.20131112.join","Composite",0.816623358220421,"mgm4637855.3","OSBS_087-M-20131112-C","OSBS_087-M-20131112","OSBS","OSBS_087"
"59","OSBS.119.21.M.19.1.20131112.join","Individual",0.815909736992928,"mgm4664850.3","OSBS_119-M-19-1-20131112","OSBS_119-M-20131112","OSBS","OSBS_119"
"60","OSBS.119.xx.M.xx.x.20131112.join","Composite",0.817357739996944,"mgm4664884.3","OSBS_119-M-20131112-C","OSBS_119-M-20131112","OSBS","OSBS_119"
"63","STER_001.SE.Mineral.22_2.20130627.join","Individual",0.816674803473422,"mgm4637857.3","STER_001-M-22-2-20130627","STER_001-M-20130627","STER","STER_001"
"64","STER_001.XX.Mineral.xx_xx.20130627.join","Composite",0.814974749387464,"mgm4637858.3","STER_001-M-20130627-C","STER_001-M-20130627","STER","STER_001"
"66","STER_003.SE.Mineral.38_5.20130627.join","Individual",0.814575839474606,"mgm4637860.3","STER_003-M-38-5-20130627","STER_003-M-20130627","STER","STER_003"
"67","STER_003.XX.Mineral.xx_xx.20130627.join","Composite",0.815990254160327,"mgm4637861.3","STER_003-M-20130627-C","STER_003-M-20130627","STER","STER_003"
"65","STER_003.NE.Mineral.38_30_20131217.join","Individual",0.81370419074591,"mgm4637859.3","STER_003-M-38-30-20131217","STER_003-M-20131217","STER","STER_003"
"68","STER_003.XX.Mineral.xx_xx_20131217.join","Composite",0.814102797543701,"mgm4637862.3","STER_003-M-20131217-C","STER_003-M-20131217","STER","STER_003"
"70","STER_004.SW.Mineral.3_10.20130627.join","Individual",0.814741656805241,"mgm4637864.3","STER_004-M-3-10-20130627","STER_004-M-20130627","STER","STER_004"
"71","STER_004.XX.Mineral.xx_xx.20130627.join","Composite",0.81490054059132,"mgm4637865.3","STER_004-M-20130627-C","STER_004-M-20130627","STER","STER_004"
"69","STER_004.NW.Mineral.7_21_20131217.join","Individual",0.815282255901869,"mgm4637863.3","STER_004-M-7-21-20131217","STER_004-M-20131217","STER","STER_004"
"72","STER_004.XX.Mineral.xx_xx_20131217.join","Composite",0.814504578408921,"mgm4637866.3","STER_004-M-20131217-C","STER_004-M-20131217","STER","STER_004"
"73","STER_005.NW.Mineral.5_35.20130627.join","Individual",0.815029905674182,"mgm4637867.3","STER_005-M-5-35-20130627","STER_005-M-20130627","STER","STER_005"
"74","STER_005.XX.Mineral.xx_xx.20130627.join","Composite",0.815417964593195,"mgm4637868.3","STER_005-M-20130627-C","STER_005-M-20130627","STER","STER_005"
"75","TALL.004.21.M.24.15.20140708.join","Individual",0.817860211273974,"mgm4664905.3","TALL_004-M-24-15-20140708","TALL_004-M-20140708","TALL","TALL_004"
"76","TALL.004.xx.M.xx.x.20140708.join","Composite",0.817159420954346,"mgm4664894.3","TALL_004-M-20140708-C","TALL_004-M-20140708","TALL","TALL_004"
