"","metagenomeID","sampleType","speciesRichness","mgrastID","sampleID","Event_name","siteID","plotID"
"55","OSBS.047.xx.M.xx.x.20130726.join","Composite",2402,4664877.3,"OSBS_047-M-20130726-C","OSBS_047-M-20130726","OSBS","OSBS_047"
"53","OSBS.047.23.M.30.7.20131112.join","Individual",2558,4664900.3,"OSBS_047-M-30-7-20131112","OSBS_047-M-20131112","OSBS","OSBS_047"
"56","OSBS.047.xx.M.xx.x.20131112.join","Composite",2542,4664886.3,"OSBS_047-M-20131112-C","OSBS_047-M-20131112","OSBS","OSBS_047"
"57","OSBS.048.39.M.9.22.20130726.join","Individual",2670,4664914.3,"OSBS_048-M-9-22-20130726","OSBS_048-M-20130726","OSBS","OSBS_048"
"58","OSBS.048.xx.M.xx.x.20130726.join","Composite",2538,4664852.3,"OSBS_048-M-20130726-C","OSBS_048-M-20130726","OSBS","OSBS_048"
"61","OSBS_087.21.M.8.19.20131112.join","Individual",2467,4637854.3,"OSBS_087-M-8-19-20131112","OSBS_087-M-20131112","OSBS","OSBS_087"
"62","OSBS_087.xx.M.xx.xx.20131112.join","Composite",2494,4637855.3,"OSBS_087-M-20131112-C","OSBS_087-M-20131112","OSBS","OSBS_087"
"59","OSBS.119.21.M.19.1.20131112.join","Individual",2550,4664850.3,"OSBS_119-M-19-1-20131112","OSBS_119-M-20131112","OSBS","OSBS_119"
"60","OSBS.119.xx.M.xx.x.20131112.join","Composite",2413,4664884.3,"OSBS_119-M-20131112-C","OSBS_119-M-20131112","OSBS","OSBS_119"
"63","STER_001.SE.Mineral.22_2.20130627.join","Individual",2453,4637857.3,"STER_001-M-22-2-20130627","STER_001-M-20130627","STER","STER_001"
"64","STER_001.XX.Mineral.xx_xx.20130627.join","Composite",2572,4637858.3,"STER_001-M-20130627-C","STER_001-M-20130627","STER","STER_001"
"66","STER_003.SE.Mineral.38_5.20130627.join","Individual",2516,4637860.3,"STER_003-M-38-5-20130627","STER_003-M-20130627","STER","STER_003"
"67","STER_003.XX.Mineral.xx_xx.20130627.join","Composite",2645,4637861.3,"STER_003-M-20130627-C","STER_003-M-20130627","STER","STER_003"
"65","STER_003.NE.Mineral.38_30_20131217.join","Individual",2564,4637859.3,"STER_003-M-38-30-20131217","STER_003-M-20131217","STER","STER_003"
"68","STER_003.XX.Mineral.xx_xx_20131217.join","Composite",2686,4637862.3,"STER_003-M-20131217-C","STER_003-M-20131217","STER","STER_003"
"70","STER_004.SW.Mineral.3_10.20130627.join","Individual",2517,4637864.3,"STER_004-M-3-10-20130627","STER_004-M-20130627","STER","STER_004"
"71","STER_004.XX.Mineral.xx_xx.20130627.join","Composite",2620,4637865.3,"STER_004-M-20130627-C","STER_004-M-20130627","STER","STER_004"
"69","STER_004.NW.Mineral.7_21_20131217.join","Individual",2491,4637863.3,"STER_004-M-7-21-20131217","STER_004-M-20131217","STER","STER_004"
"72","STER_004.XX.Mineral.xx_xx_20131217.join","Composite",2649,4637866.3,"STER_004-M-20131217-C","STER_004-M-20131217","STER","STER_004"
"73","STER_005.NW.Mineral.5_35.20130627.join","Individual",2449,4637867.3,"STER_005-M-5-35-20130627","STER_005-M-20130627","STER","STER_005"
"74","STER_005.XX.Mineral.xx_xx.20130627.join","Composite",2554,4637868.3,"STER_005-M-20130627-C","STER_005-M-20130627","STER","STER_005"
"75","TALL.004.21.M.24.15.20140708.join","Individual",2404,4664905.3,"TALL_004-M-24-15-20140708","TALL_004-M-20140708","TALL","TALL_004"
"76","TALL.004.xx.M.xx.x.20140708.join","Composite",2688,4664894.3,"TALL_004-M-20140708-C","TALL_004-M-20140708","TALL","TALL_004"
