"","metagenomeID","sampleType","ShannonIndex","sampleID","Event_name","siteID","plotID","SpeciesRichness"
"55","OSBS.047.xx.M.xx.x.20130726.join","Composite",5.86735209775145,"OSBS_047-M-20130726-C","OSBS_047-M-20130726","OSBS","OSBS_047",1553
"56","OSBS.047.xx.M.xx.x.20131112.join","Composite",5.77158833661009,"OSBS_047-M-20131112-C","OSBS_047-M-20131112","OSBS","OSBS_047",1557
"57","OSBS.048.39.M.9.22.20130726.join","Individual",5.81818511714262,"OSBS_048-M-9-22-20130726","OSBS_048-M-20130726","OSBS","OSBS_048",1581
"58","OSBS.048.xx.M.xx.x.20130726.join","Composite",5.81652418897458,"OSBS_048-M-20130726-C","OSBS_048-M-20130726","OSBS","OSBS_048",1542
"59","OSBS.119.21.M.19.1.20131112.join","Individual",5.94759949387515,"OSBS_119-M-19-1-20131112","OSBS_119-M-20131112","OSBS","OSBS_119",1541
"60","OSBS.119.xx.M.xx.x.20131112.join","Composite",5.89969889345627,"OSBS_119-M-20131112-C","OSBS_119-M-20131112","OSBS","OSBS_119",1546
"61","OSBS_087.21.M.8.19.20131112.join","Individual",5.76463523961907,"OSBS_087-M-8-19-20131112","OSBS_087-M-20131112","OSBS","OSBS_087",1557
"62","OSBS_087.xx.M.xx.xx.20131112.join","Composite",5.76766896240354,"OSBS_087-M-20131112-C","OSBS_087-M-20131112","OSBS","OSBS_087",1553
"63","STER_001.SE.Mineral.22_2.20130627.join","Individual",6.03932368877144,"STER_001-M-22-2-20130627","STER_001-M-20130627","STER","STER_001",1567
"64","STER_001.XX.Mineral.xx_xx.20130627.join","Composite",6.04604077588723,"STER_001-M-20130627-C","STER_001-M-20130627","STER","STER_001",1575
"65","STER_003.NE.Mineral.38_30_20131217.join","Individual",5.93063248394954,"STER_003-M-38-30-20131217","STER_003-M-20131217","STER","STER_003",1564
"66","STER_003.SE.Mineral.38_5.20130627.join","Individual",6.02676902897455,"STER_003-M-38-5-20130627","STER_003-M-20130627","STER","STER_003",1586
"67","STER_003.XX.Mineral.xx_xx.20130627.join","Composite",6.0522819192701,"STER_003-M-20130627-C","STER_003-M-20130627","STER","STER_003",1554
"68","STER_003.XX.Mineral.xx_xx_20131217.join","Composite",5.9764604919446,"STER_003-M-20131217-C","STER_003-M-20131217","STER","STER_003",1580
"69","STER_004.NW.Mineral.7_21_20131217.join","Individual",5.94092513452529,"STER_004-M-7-21-20131217","STER_004-M-20131217","STER","STER_004",1574
"70","STER_004.SW.Mineral.3_10.20130627.join","Individual",6.01457354791397,"STER_004-M-3-10-20130627","STER_004-M-20130627","STER","STER_004",1577
"71","STER_004.XX.Mineral.xx_xx.20130627.join","Composite",6.04051480204389,"STER_004-M-20130627-C","STER_004-M-20130627","STER","STER_004",1553
"72","STER_004.XX.Mineral.xx_xx_20131217.join","Composite",6.00676652788243,"STER_004-M-20131217-C","STER_004-M-20131217","STER","STER_004",1568
"73","STER_005.NW.Mineral.5_35.20130627.join","Individual",5.99091484170144,"STER_005-M-5-35-20130627","STER_005-M-20130627","STER","STER_005",1553
"74","STER_005.XX.Mineral.xx_xx.20130627.join","Composite",6.05054812932032,"STER_005-M-20130627-C","STER_005-M-20130627","STER","STER_005",1564
"75","TALL.004.21.M.24.15.20140708.join","Individual",5.75826150440782,"TALL_004-M-24-15-20140708","TALL_004-M-20140708","TALL","TALL_004",1525
"76","TALL.004.xx.M.xx.x.20140708.join","Composite",5.82795880183524,"TALL_004-M-20140708-C","TALL_004-M-20140708","TALL","TALL_004",1562
