SampleID	CPER_003-M-20140116
Chironex	4
Chironomus	8
Chitinophaga	91723
Chitoria	1
Chlamydia	2907
Chlamydiamicrovirus	3
Chlamydomonas	1578
Chlamydophila	1502
Chlamys	9
Chloeia	1
Chloranthus	3
Chlorarachnion	3
Chlorella	1750
Chloriridovirus	1
Chloris	1
Chlorobaculum	14942
Chlorobium	35983
Chloroflexus	68460
Chlorogloeopsis	17
Chlorogonium	1
Chloroherpeton	13907
Chlorokybus	76
Chloromonas	1
Chlorophthalmus	1
Chlorovirus	109
Chnoospora	1
Choeradodis	2
Chondromyces	75
Chondrus	32
Chorda	2
Chorispora	1
Choristoneura	1
Choristylis	6
Chromatium	2
Chromera	2
Chromobacterium	15775
Chromohalobacter	9868
Chroococcidiopsis	5
Chroococcus	5
Chroomonas	1
Chrysanthemum	1
Chryseobacterium	6537
Chrysocharis	2
Chrysodidymus	13
Chrysolepidomonas	1
Chrysomela	1
Chrysopathes	1
Chrysosplenium	2
Chthamalus	1
Chthoniobacter	98047
Chymomyza	1
Chytriomyces	1
Cicer	8
Cinachyrella	1
Cinnamomum	1
Ciona	2164
Cirolanides	1
Cistus	2
Citreicella	4349
Citrobacter	4581
Citromicrobium	9695
Citrullus	9
Citrus	25
Cladochytrium	1
Cladophialophora	1
Cladophora	1
Cladosporium	17
Clarkia	4
Claroideoglomus	1
Clavaria	2
Clavariopsis	1
Clavibacter	29217
Claviceps	7
Clavispora	166
Clavulina	1
Cleome	10
Clepsis	1
Cleyera	1
Clistosaccus	2
Clonorchis	4
Closterium	2
Clostridium	87504
Clypeosphaeria	1
Clytia	1
Coccidioides	1262
Coccolithovirus	2
Coccomyxa	20
Cochliobolus	42
Cocos	1
Codonopsis	1
Codosiga	1
Coelopa	1
Coelophrys	2
Coffea	5
Cohaesibacter	3
Cohnella	10
Coix	19
Colias	1
Colletotrichum	6
Collimonas	34
Collinsella	3582
Collophora	1
Collybia	4
Colpomenia	1
Colpoon	1
Columba	7
Colwellia	6482
Comamonas	12658
Compsopogon	1
Condylostoma	1
Conexibacter	407231
Congregibacter	12932
Conidiobolus	148
Coniochaeta	3
Coniophora	1
Coniothyrium	2
Conocybe	5
Consolida	4
Copidosoma	1
Coprinellus	5
Coprinopsis	1367
Coprinus	1
Coprobacillus	728
Coprococcus	2070
Coprothermobacter	3123
Coptis	1
Coptotermes	45
Coptotriche	1
Coquillettidia	1
Coraliomargarita	9862
Corallina	34
Corallium	1
Corallochytrium	5
Corallococcus	36
Corbicula	2
Corchorus	3
Cordyceps	18
Coriandrum	1
Cornus	3
Cortaderia	36
Cortinarius	1
Corynebacterium	48041
Corynocarpus	1
Cosmocladium	1
Cotesia	1
Coturnix	6
Couchioplanes	7
Coxiella	7167
Craniscus	1
Crassostrea	11
Craterostigma	34
Craterostigmus	1
Crepidula	1
Cricetulus	9
Crithidia	8
Croceibacter	4502
Crocosphaera	5757
Crocus	3
Cronobacter	3819
Crotalus	3
Croton	2
Crucihimalaya	5
Crustomastix	3
Cryobacterium	1
Cryphonectria	9
Crypteronia	1
Crypthecodinium	1
Cryptobacterium	2511
Cryptocercus	2
Cryptococcus	7
Cryptocotyle	1
Cryptomeria	4
Cryptomonas	18
Cryptopygus	2
Cryptoscenea	1
Cryptosporidium	285
Ctenocephalides	5
Ctenopharyngodon	4
Cucumaria	1
Cucumis	119
Cucurbita	27
Culex	522
Culicoides	6
Cunninghamella	1
Cuphea	12
Cupiennius	1
Cupriavidus	98111
Curarea	1
Curtobacterium	17
Curvibacter	4685
Curviramea	1
Curvularia	25
Cuscuta	3
Cyamopsis	17
Cyanea	1
Cyanidioschyzon	1169
Cyanidium	103
Cyanobacterium	27
Cyanobium	2643
Cyanophora	214
Cyanoptyche	2
Cyanothece	70999
Cyathus	1
Cycas	10
Cyclamen	1
Cyclobacterium	3
Cycloclasticus	11
Cyclophora	1
Cydia	1
Cylindrospermopsis	3139
Cylindrospermum	1
Cylindrotheca	1
Cynanchum	1
Cynara	1
Cynodon	5
Cynoglossus	1
Cynops	2
Cynopterus	2
Cypridopsis	2
Cyprinivirus	1
Cyprinus	9
Cypripedium	2
Cystobacter	171
Cystosporogenes	1
Cytophaga	31531
Dactylellina	7
Dactylis	2
Dactylococcopsis	3
Dactylosporangium	304
Daldinia	1
Dalechampia	1
Damiria	1
Danaea	1
Danio	2925
Danthonia	1
Daphnia	899
Daptonema	1
Dasypus	9
Dasypyrum	2
Datisca	1
Datura	2
Daucus	44
Davidia	1
Davidiella	1
Debaryomyces	238
Dechloromonas	22245
Deferribacter	6209
Dehalobacter	3
Dehalococcoides	12421
Dehalogenimonas	7404
Deinococcus	62283
Deinopis	4
Dekkera	11
Delftia	19325
Delitschia	1
Delphinium	1
Demansia	3
Demequina	2
Dendrobium	2
Dendrocalamus	17
Dendroctonus	1
Dendronephthya	1
Dendrosoter	1
Denitrovibrio	4897
Dermacentor	4
Dermacoccus	6674
Dermanyssus	1
Dermatophagoides	6
Dermatophilus	2
Deschampsia	1
Descurainia	1
Desoria	1
Desulfacinum	1
Desulfarculus	11960
Desulfatibacillum	17055
Desulfitobacterium	19654
Desulfobacca	1
Desulfobacterium	9066
Desulfobulbus	1
Desulfococcus	13731
Desulfohalobium	6737
Desulfomicrobium	10650
Desulfomonile	35
Desulfonatronospira	4705
Desulfonatronovibrio	2
Desulfonatronum	1
