SampleID	CPER_002-M-20130701
Cephaloscyllium	1
Ceratitis	1
Ceratocystis	3
Ceratophyllum	1
Ceratopteris	1
Ceratosolen	2
Cercomonas	1
Cercospora	16
Cerebratulus	1
Cetorhinus	1
Ceuthomantis	1
Chaetoceros	1
Chaetodipus	1
Chaetomium	1286
Chaetopeltis	1
Chaetopterus	1
Chaetosphaeridium	20
Chamaecyparis	130
Chamaedaphne	1
Chamaesiphon	2
Chandlerella	1
Channa	1
Chara	11
Chasmanthera	1
Chattonella	2
Chauliognathus	1
Chaunax	1
Cheilanthes	1
Chelativorans	9815
Chelidonium	1
Chimaera	1
Chironomus	3
Chitinophaga	22761
Chlamydia	1344
Chlamydomonas	470
Chlamydophila	581
Chlamys	2
Chloeia	1
Chloranthus	2
Chlorella	616
Chlorobaculum	5093
Chlorobium	11774
Chloroflexus	25150
Chlorogloeopsis	14
Chloroherpeton	4134
Chloroidium	10
Chlorokybus	16
Chlorosarcinopsis	34
Chlorovirus	33
Chondracanthus	1
Chondromyces	28
Chondrus	6
Choristoneura	1
Chorizanthe	1
Chromobacterium	4781
Chromohalobacter	3379
Chroococcus	1
Chrysanthemum	3
Chryseobacterium	2020
Chrysocharis	1
Chrysochromulina	1
Chrysodidymus	1
Chrysomela	1
Chrysomphalina	1
Chthoniobacter	61555
Cicer	12
Cinachyrella	1
Ciona	706
Cistus	1
Citreicella	1297
Citrobacter	1332
Citromicrobium	1977
Citrullus	1
Citrus	2
Cladonia	1
Cladosporium	112
Cladostephus	1
Clavariopsis	1
Clavibacter	10351
Clavispora	65
Cleome	2
Clistosaccus	1
Clitopilus	15
Clonorchis	1
Closterium	1
Clostridium	30641
Cnemidocarpa	1
Coccidioides	4257
Coccocarpia	1
Coccodinium	16
Coccotrema	1
Cochliobolus	64
Cocos	1
Coelophrys	1
Coffea	8
Cohnella	1
Coix	1
Colletotrichum	5
Collimonas	117
Collinsella	1499
Colobus	1
Columba	2
Colwellia	1610
Comamonas	3547
Condylostoma	1
Conexibacter	132659
Congregibacter	3475
Conidiobolus	41
Coniothyrium	2
Conocephalum	1
Coprinopsis	282
Coprobacillus	262
Coprococcus	686
Coprothermobacter	1083
Coptotermes	35
Coraliomargarita	4028
Corallina	25
Corallochytrium	1
Corallococcus	12
Cordyceps	45
Cortaderia	69
Corylus	1
Corynebacterium	25221
Cosmocladium	2
Coturnix	2
Couchioplanes	2
Coxiella	2635
Craniscus	2
Crassostrea	2
Craterostigma	17
Crepidotus	1
Cricetulus	9
Crithidia	3
Croceibacter	1124
Crocosphaera	2138
Crocus	1
Cronobacter	1648
Crotalus	1
Crustomastix	1
Cryphonectria	36
Crypthecodinium	2
Cryptobacterium	1071
Cryptobia	1
Cryptococcus	1
Cryptomeria	2
Cryptomonas	3
Cryptoporus	11
Cryptosporidium	78
Cryptovalsa	1
Ctenopharyngodon	1
Cucumis	30
Cucurbita	8
Culex	126
Culicoides	3
Cunninghamella	74
Cuphea	8
Cupriavidus	28882
Curtobacterium	3
Curvibacter	1006
Curvularia	8
Cyamopsis	7
Cyanidioschyzon	427
Cyanidium	16
Cyanobacterium	9
Cyanobium	996
Cyanophora	28
Cyanoptyche	1
Cyanothece	22552
Cycas	7
Cyclamen	1
Cycloclasticus	6
Cyclorana	1
Cyclotella	1
Cylindrocapsa	1
Cylindrospermopsis	1095
Cylindrospermum	2
Cylindrotheca	4
Cynoglossus	1
Cynopterus	2
Cypridopsis	1
Cyprinus	5
Cystobacter	261
Cytophaga	6666
Dactylellina	2
Dactylococcopsis	1
Dactylospora	106
Dactylosporangium	120
Danaea	1
Danaus	1
Danio	679
Daphnia	284
Dasypogon	3
Dasypus	2
Dasypyrum	1
Datura	1
Daucus	20
Davidiella	1
Debaryomyces	317
Dechloromonas	4900
Deferribacter	1920
Dehalobacter	2
Dehalococcoides	6595
Dehalogenimonas	2463
Deinococcus	21173
Deinopis	1
Dekkera	1
Delftia	4996
Delitschia	92
Demequina	2
Dendrobium	3
Dendroctonus	4
Dendrohypopterygium	1
Dendropoma	1
Denitrovibrio	1659
Dermacoccus	2713
Dermanyssus	1
Dermatocarpon	2
Dermatophagoides	3
Dermatophilus	1
Derocheilocaris	1
