SampleID	CPER_002-M-14-37-20140117
Cellulosimicrobium	14
Cellvibrio	4067
Celosia	52
Cenarchaeum	2172
Cenchrus	3
Cephalotaxus	2
Cephalothrix	1
Cephonodes	1
Ceratitis	3
Ceratobasidium	1
Ceratocymba	1
Ceratocystis	5
Ceratophyllum	3
Ceratopteris	1
Ceratosolen	1
Ceratozamia	1
Cercomonas	2
Cercophora	1
Cercospora	12
Cerebratulus	1
Cervus	1
Chaetoceros	1
Chaetomium	1055
Chaetosphaeridium	11
Chalcura	1
Chamaecyparis	3
Chamaesiphon	3
Chanos	1
Chaoborus	1
Chara	26
Characoma	1
Chasmanthium	10
Chattonella	3
Cheilanthes	3
Chelativorans	21280
Chelatococcus	2
Chelidonium	2
Chenopodium	2
Cherax	1
Childia	2
Chilodonella	1
Chiloscyllium	1
Chimaera	2
Chimonobambusa	1
Chionodraco	1
Chironex	1
Chironomus	3
Chitinophaga	39407
Chlamydia	1538
Chlamydomonas	726
Chlamydophila	739
Chlamys	8
Chloeia	1
Chloranthus	4
Chlorella	815
Chlorobaculum	7476
Chlorobium	16953
Chloroflexus	31854
Chlorogloeopsis	10
Chloroherpeton	6096
Chlorokybus	48
Chlorophyllum	1
Chlorovirus	47
Chondromyces	376
Chondrosia	1
Chondrus	15
Chorda	2
Chorispora	1
Choristoneura	2
Chorizanthe	1
Chromatium	1
Chromobacterium	7469
Chromohalobacter	4699
Chroococcidiopsis	2
Chroococcus	1
Chryseobacterium	2997
Chrysochromulina	2
Chrysodidymus	10
Chthamalus	1
Chthoniobacter	113049
Chymomyza	2
Cicer	2
Cinachyrella	1
Cinnamomum	1
Ciona	408
Circinaria	1
Citreicella	2216
Citrobacter	2422
Citromicrobium	4059
Citrullus	2
Citrus	9
Cladosporium	1
Cladostigma	1
Claroideoglomus	1
Clathrulina	2
Clavibacter	13656
Claviceps	3
Clavispora	105
Cleome	6
Cliftonia	1
Clinocottus	1
Cliona	1
Clitopilus	1
Clonorchis	4
Clostridium	39159
Cnemidocarpa	1
Coccidioides	831
Coccolithovirus	2
Coccomyxa	5
Cochliobolus	20
Cocos	2
Codiaeum	1
Codium	2
Codonopsis	2
Coelophrys	1
Coenonia	1
Coffea	9
Cohaesibacter	1
Cohnella	9
Coix	21
Coleodactylus	1
Colletotrichum	3
Collimonas	286
Collinsella	1783
Collophora	1
Coluber	1
Colubraria	1
Columba	1
Columnea	1
Colwellia	2783
Comamonas	5877
Conexibacter	166193
Congregibacter	5514
Conidiobolus	73
Coniochaeta	1
Coniochaetidium	1
Coniophora	1
Coniothyrium	2
Conopeum	1
Contramyzostoma	1
Convolvulus	1
Conyza	2
Coprinellus	2
Coprinopsis	200
Coprobacillus	326
Coprococcus	872
Coprothermobacter	1568
Coptis	1
Coptotermes	16
Coraliomargarita	6682
Corallina	20
Corallochytrium	1
Corallococcus	25
Corcyra	1
Cordisepalum	1
Cordyceps	13
Coriaria	1
Cornus	2
Corsinia	1
Cortinarius	1
Corylus	1
Corynebacterium	27326
Corynespora	3
Corynocarpus	1
Cosmarium	1
Cosmocladium	1
Coturnix	1
Couchioplanes	1
Coxiella	3531
Crassostrea	2
Craterostigma	21
Crepidula	1
Crepis	1
Cressa	1
Cricetulus	2
Crioceris	1
Crithidia	3
Croceibacter	1936
Crocodylus	1
Crocosphaera	2713
Cronobacter	1756
Crucihimalaya	1
Crustomastix	2
Cryobacterium	3
Cryphonectria	5
Cryptobacterium	1281
Cryptocellus	1
Cryptococcus	6
Cryptomeria	6
Cryptomonas	14
Cryptosporidium	134
Ctenocephalides	1
Ctenolepisma	1
Cucumis	47
Cucurbita	12
Culex	232
Culicoides	7
Cunninghamella	11
Cunninghamia	1
Cuphea	12
Cupiennius	1
Cupriavidus	45189
Curarea	1
Curtobacterium	5
Curvibacter	1966
Curvularia	7
Cuscuta	3
Cyamopsis	6
Cyananthus	1
Cyanea	1
Cyanidioschyzon	536
Cyanidium	52
Cyanobacterium	16
Cyanobium	1182
Cyanophora	60
Cyanoptyche	1
Cyanothece	33120
Cycas	8
Cyclamen	1
